run_id	dataset_id	accession	sample_label	dataset_role	run_role	pipeline_version	status	started_at	ended_at	root_path	notes
ENCSR327TOR_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_projection/ENCSR327TOR_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1/v0.3.3	
ENCSR327TOR_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_span_calibration/ENCSR327TOR_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix	
ENCSR582TMC							DISCOVERED				
ENCSR582TMC_sample100k_seed20260803_mm2splice_v1	ENCODE_ENCSR582TMC	ENCSR582TMC	Homo sapiens fetal brain, female, 105 days	RNA_TECHNICAL_COMPARISON	RNA_TECHNICAL_COMPARISON_MAPPING	rnatr_mm2_splice_cDNA_v0.3.1	MAPPED			/mnt/intelssd/rnatr_project/results/11_equalized_100k_mapping/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_equalized_100k_mm2splice_mapping_v0.1.1/bam/ENCSR582TMC	100k-read equalized comparison dataset.
ENCSR582TMC_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_span_calibration/ENCSR582TMC_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix	
ENCSR598UIY							DISCOVERED				
ENCSR598UIY_sample100k_seed20260803_mm2splice_v1	ENCODE_ENCSR598UIY	ENCSR598UIY	Homo sapiens fetal brain, male, 104 days	RNA_TECHNICAL_COMPARISON	RNA_TECHNICAL_COMPARISON_MAPPING	rnatr_mm2_splice_cDNA_v0.3.1	MAPPED			/mnt/intelssd/rnatr_project/results/11_equalized_100k_mapping/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_equalized_100k_mm2splice_mapping_v0.1.1/bam/ENCSR598UIY	100k-read equalized comparison dataset.
ENCSR598UIY_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_span_calibration/ENCSR598UIY_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix	
ENCSR852YUV							DISCOVERED				
ENCSR852YUV_sample100k_seed20260803_mm2splice_v1	ENCODE_ENCSR852YUV	ENCSR852YUV	Homo sapiens fetal brain, 112 days	RNA_TECHNICAL_COMPARISON	RNA_TECHNICAL_COMPARISON_MAPPING	rnatr_mm2_splice_cDNA_v0.3.1	MAPPED			/mnt/intelssd/rnatr_project/results/11_equalized_100k_mapping/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_equalized_100k_mm2splice_mapping_v0.1.1/bam/ENCSR852YUV	100k-read equalized comparison dataset.
ENCSR852YUV_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_span_calibration/ENCSR852YUV_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix	
ENCSR859DYW							DISCOVERED				
ENCSR859DYW_sample100k_seed20260803_mm2splice_v1	ENCODE_ENCSR859DYW	ENCSR859DYW	Homo sapiens fetal brain, female, 109 days	RNA_TECHNICAL_COMPARISON	RNA_TECHNICAL_COMPARISON_MAPPING	rnatr_mm2_splice_cDNA_v0.3.1	MAPPED			/mnt/intelssd/rnatr_project/results/11_equalized_100k_mapping/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_equalized_100k_mm2splice_mapping_v0.1.1/bam/ENCSR859DYW	100k-read equalized comparison dataset.
ENCSR859DYW_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_span_calibration/ENCSR859DYW_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix	
ENCSR887OJA							DISCOVERED				
ENCSR887OJA_sample100k_seed20260803_mm2splice_v1	ENCODE_ENCSR887OJA	ENCSR887OJA	Homo sapiens fetal brain, male, 101 days	RNA_TECHNICAL_COMPARISON	RNA_TECHNICAL_COMPARISON_MAPPING	rnatr_mm2_splice_cDNA_v0.3.1	MAPPED			/mnt/intelssd/rnatr_project/results/11_equalized_100k_mapping/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_equalized_100k_mm2splice_mapping_v0.1.1/bam/ENCSR887OJA	100k-read equalized comparison dataset.
ENCSR887OJA_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_span_calibration/ENCSR887OJA_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_validator_v0.3.1_pipefailfix	
