check	status	detail	evidence
final_qc::intentional_stop_after_fresh_caller	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::final_package_visible_at_stop	PASS	observed=false expected=false	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::selective_resume_caller_reused	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::selective_resume_materializer_executed	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::target_caller_logical_parity	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::target_materializer_raw_parity	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::full_reconstruction_shards	PASS	observed=144 expected=144	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::fresh_target_shards	PASS	observed=1 expected=1	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::full_package_plain_raw_parity	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::full_package_gzip_logical_parity	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::package_manifest_logical_parity	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::frozen_validators	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::memory_bounded_validator	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::atomic_publication	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::second_resume_noop	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::second_resume_scientific_commands	PASS	observed=0 expected=0	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::release_scale_determinism	PASS	observed=PASS_CHECKPOINT_BASED_RECONSTRUCTION_SCOPE expected=PASS_CHECKPOINT_BASED_RECONSTRUCTION_SCOPE	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::fullscale_restart_resume	PASS	observed=PASS_SELECTIVE_CALLER_TO_FINAL_SCOPE expected=PASS_SELECTIVE_CALLER_TO_FINAL_SCOPE	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::clean_full_runtime_status	PASS	observed=PASS_WITH_DOCUMENTED_TOLERANCE expected=PASS_WITH_DOCUMENTED_TOLERANCE	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::clean_runtime_benchmark_overwritten	PASS	observed=false expected=false	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::baseline_result_modified	PASS	observed=false expected=false	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::baseline_qc_modified	PASS	observed=false expected=false	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::active_pipeline_modified	PASS	observed=false expected=false	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::ssot_modified	PASS	observed=false expected=false	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::core_schema_modified	PASS	observed=false expected=false	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::stage_status	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::audit_status	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
clean_full_runtime_minutes	PASS	60.041256352	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
state_sidecar	PASS	d81316286a47fd5647768c7f39109a33e7f3fa6bb90b8cf1633df92d24cf3454	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
state::phase	PASS	observed='COMPLETE' expected='COMPLETE'	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
state::second_resume_noop	PASS	observed='PASS' expected='PASS'	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
state::second_resume_scientific_command_count	PASS	observed=0 expected=0	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
state::package_final_visible	PASS	observed=True expected=True	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
state::package_part_visible	PASS	observed=False expected=False	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
state::active_pipeline_modified	PASS	observed=False expected=False	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
state::ssot_modified	PASS	observed=False expected=False	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
state::core_schema_modified	PASS	observed=False expected=False	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/state/stage15e_state.json
determinism/full_package_table_parity.tsv::rows	PASS	5 expected=5	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/full_package_table_parity.tsv
determinism/full_package_table_parity.tsv::all_pass	PASS	pass=5/5	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/full_package_table_parity.tsv
determinism/package_manifest_logical_parity.tsv::rows	PASS	10 expected=10	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/package_manifest_logical_parity.tsv
determinism/package_manifest_logical_parity.tsv::all_pass	PASS	pass=10/10	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/package_manifest_logical_parity.tsv
determinism/target_caller_parity.tsv::rows	PASS	1 expected=1	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/target_caller_parity.tsv
determinism/target_caller_parity.tsv::all_pass	PASS	pass=1/1	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/target_caller_parity.tsv
determinism/target_materializer_table_parity.tsv::rows	PASS	5 expected=5	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/target_materializer_table_parity.tsv
determinism/target_materializer_table_parity.tsv::all_pass	PASS	pass=5/5	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/target_materializer_table_parity.tsv
noop/second_resume_artifact_immutability.tsv::rows	PASS	20 expected=20	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/noop/second_resume_artifact_immutability.tsv
noop/second_resume_artifact_immutability.tsv::all_pass	PASS	pass=20/20	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/noop/second_resume_artifact_immutability.tsv
stage15c_fullscale_validators.tsv::rows	PASS	6 expected=6	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15c_fullscale_validators.tsv
stage15c_fullscale_validators.tsv::all_pass	PASS	pass=6/6	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15c_fullscale_validators.tsv
checkpoint/intentional_stop.checkpoint_rehash.qc.tsv	PASS	rows=1884 bytes=140029015504 status=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/checkpoint/intentional_stop.checkpoint_rehash.qc.tsv
checkpoint/first_resume.checkpoint_rehash.qc.tsv	PASS	rows=1884 bytes=140029015504 status=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/checkpoint/first_resume.checkpoint_rehash.qc.tsv
corrupt_checkpoint_negative_fixture	PASS	status=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/negative_fixture/corrupt_checkpoint_rejection.qc.tsv
scientific_command_ledger	PASS	rows=2 labels=['target_caller_hashseed20260810', 'target_materializer_hashseed20260810']	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/command_ledger.tsv
source_and_state_guards	PASS	pass=29/29	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/guards/second_resume_noop.source_and_state_guards.tsv
harness_raw_sha256	PASS	70998ac5c04d01d95955a3fecddbe7aa685f9d9fa396993f0fe616058558730d	rnatr_stage15e_run_combined_determinism_restart_v010.py
